0,1,2,,0,1,2,,numérateur,dénominateur,quotient,,
59.18,51.527,3.3206,,40.8192443847656,15.87024974823,14.2029132843018,,64.8998191513062,184.920007417297,0.350961586351502,,
17.903,6.9989,1.0659,,48.5250816345215,30.8034973144531,19.2287750244141,,72.5895539733887,124.525153973389,0.582930850974103,,
47.016,41.3,13.606,,35.955150604248,3.81300616264343,2.67066812515259,,59.4831751079559,144.360824892044,0.412045131720733,,
33.003,28.628,15.793,,53.4785423278809,21.8556442260742,34.8069610595703,,46.261859161377,187.565147613525,0.246644218022309,,
31.552,21.002,11.565,,57.7564888000488,27.380651473999,34.7879104614258,,55.8060507354736,184.044050735474,0.303221160980007,,
45.616,17.835,38.664,,52.5616607666016,23.3457546234131,15.3130788803101,,35.8073365097046,193.335494270325,0.185208291135813,,
10.655,6.7079,0,,72.7183609008789,36.82373046875,38.6179351806641,,130.797126550293,165.522926550293,0.790205497668936,,
43.853,38.813,11.871,,22.4704685211182,14.5004272460938,12.8570938110352,,46.6811980438232,144.364989578247,0.323355393715605,,
58.7,0,30.266,,81.1965103149414,51.6246337890625,48.1924934387207,,92.0476375427246,269.979637542725,0.340942888806412,,
44.506,32.264,2.7588,,20.6522483825684,5.03024244308472,10.0466527938843,,58.3753619682312,115.257943619537,0.506475824008507,,
20.883,1.3105,19.491,,60.0971336364746,26.7636604309082,10.7388677597046,,73.4194263076782,139.284161827087,0.527119705102033,,
23.918,0,3.1398,,29.5641174316406,10.4628601074219,5.92301559448242,,18.8921931335449,73.0077931335449,0.258769541204835,,
21.243,14.004,3.7744,,49.3394393920898,30.4576053619385,3.70824003219604,,44.6162047218323,122.526684786224,0.364134594840915,,
13.276,0,11.602,,45.2007598876953,25.5339756011963,10.3470211029053,,58.7137143859863,105.959756591797,0.55411333769081,,
10.147,0,7.3004,,43.3167724609375,25.8369369506836,32.4869232177734,,84.1932326293945,119.088032629395,0.706983151627052,,
